,Data,Godzina,ZAP
756,20160201,13,22792.463
757,20160201,14,22941.1
758,20160201,15,22589.412999999997
759,20160201,16,22269.95
760,20160201,17,22712.037999999997
761,20160201,18,23560.25
762,20160201,19,23340.95
763,20160201,20,23119.287999999997
764,20160201,21,22319.912999999997
765,20160201,22,20860.625
766,20160201,23,19193.813000000002
767,20160201,24,17798.388
768,20160202,1,16703.663
769,20160202,2,16085.275
770,20160202,3,15729.638
771,20160202,4,15744.563
772,20160202,5,16073.725
773,20160202,6,16735.4
774,20160202,7,19231.7
775,20160202,8,20652.375
776,20160202,9,21516.325
777,20160202,10,21845.975
778,20160202,11,21868.362999999998
779,20160202,12,22012.35
780,20160202,13,22086.362999999998
781,20160202,14,22210.888
782,20160202,15,21897.938
783,20160202,16,21634.912999999997
784,20160202,17,21970.9
785,20160202,18,23097.25
786,20160202,19,22786.912999999997
787,20160202,20,22674.8
788,20160202,21,22032.563
789,20160202,22,20584.4
790,20160202,23,18954.825
791,20160202,24,17540.575
792,20160203,1,16564.513
793,20160203,2,15967.963
794,20160203,3,15719.938
795,20160203,4,15789.988000000001
796,20160203,5,16017.475
797,20160203,6,16717.213
798,20160203,7,19128.65
799,20160203,8,20777.888
800,20160203,9,21623.425
801,20160203,10,21936.688
802,20160203,11,21890.225
803,20160203,12,22054.35
804,20160203,13,22187.325
805,20160203,14,22311.987999999998
806,20160203,15,21931.737999999998
807,20160203,16,21768.737999999998
808,20160203,17,22287.787999999997
809,20160203,18,23309.05
810,20160203,19,23145.787999999997
811,20160203,20,22886.063
812,20160203,21,22352.063
813,20160203,22,20827.913
814,20160203,23,19241.163
815,20160203,24,17903.25
816,20160204,1,16818.4
817,20160204,2,16337.025
818,20160204,3,16091.55
819,20160204,4,15995.238000000001
820,20160204,5,16288.275
821,20160204,6,16897.775
822,20160204,7,19282.638
823,20160204,8,20801.15
824,20160204,9,21672.513
825,20160204,10,22089.05
826,20160204,11,22095.875
827,20160204,12,22380.362999999998
828,20160204,13,22470.588
829,20160204,14,22720.475
830,20160204,15,22276.45
831,20160204,16,22063.088
832,20160204,17,22322.037999999997
833,20160204,18,23430.963
834,20160204,19,23249.838
835,20160204,20,23159.325
836,20160204,21,22492.65
837,20160204,22,21115.463
838,20160204,23,19620.95
839,20160204,24,18197.563000000002
840,20160205,1,17202.675
841,20160205,2,16636.35
842,20160205,3,16320.613000000001
843,20160205,4,16300.575
844,20160205,5,16557.938000000002
845,20160205,6,17291.85
846,20160205,7,19718.6
847,20160205,8,21189.825
848,20160205,9,22132.675
849,20160205,10,22700.15
850,20160205,11,22597.838
851,20160205,12,22838.088
852,20160205,13,22933.4
853,20160205,14,22972.525
854,20160205,15,22559.2
855,20160205,16,22323.7
856,20160205,17,22543.325
857,20160205,18,23647.725
858,20160205,19,23500.287999999997
859,20160205,20,23226.487999999998
860,20160205,21,22453.237999999998
861,20160205,22,21018.175
862,20160205,23,19526.375
863,20160205,24,18325.813000000002
864,20160206,1,17267.538
865,20160206,2,16449.663
866,20160206,3,16124.05
867,20160206,4,15993.825
868,20160206,5,15945.725
869,20160206,6,16069.938
870,20160206,7,16943.988
871,20160206,8,17619.2
872,20160206,9,18801.338
873,20160206,10,19822.3
874,20160206,11,20209.85
875,20160206,12,20422.663
876,20160206,13,20251.488
877,20160206,14,20070.875
878,20160206,15,19305.675
879,20160206,16,18896.125
880,20160206,17,19226.713
881,20160206,18,20461.525
882,20160206,19,20349.8
883,20160206,20,19977.513
884,20160206,21,19358.563000000002
885,20160206,22,18196.15
886,20160206,23,17117.413
887,20160206,24,16052.913
888,20160207,1,15172.875
889,20160207,2,14513.8
890,20160207,3,14156.05
891,20160207,4,14023.55
892,20160207,5,14024.513
893,20160207,6,14167.25
894,20160207,7,14492.95
895,20160207,8,14670.55
896,20160207,9,15474.538
897,20160207,10,16421.85
898,20160207,11,17026.425
899,20160207,12,17244.075
900,20160207,13,17148.938000000002
901,20160207,14,17262.438000000002
902,20160207,15,16916.175
903,20160207,16,16615.163
904,20160207,17,16951.988
905,20160207,18,18664.313000000002
906,20160207,19,19085.863
907,20160207,20,19141.175
908,20160207,21,18542.8
909,20160207,22,17519.463
910,20160207,23,16657.0
911,20160207,24,15659.95
912,20160208,1,14819.825
913,20160208,2,14411.638
914,20160208,3,14307.038
915,20160208,4,14397.388
916,20160208,5,14775.788
917,20160208,6,15811.7
918,20160208,7,18644.063000000002
919,20160208,8,20461.95
920,20160208,9,21655.0
921,20160208,10,22046.287999999997
922,20160208,11,21994.525
923,20160208,12,22071.938
924,20160208,13,21974.275
925,20160208,14,21996.625
926,20160208,15,21572.125
927,20160208,16,21180.7
928,20160208,17,21472.662999999997
929,20160208,18,22847.813
930,20160208,19,22715.375
931,20160208,20,22534.987999999998
932,20160208,21,21900.575
933,20160208,22,20338.025
934,20160208,23,18743.438000000002
935,20160208,24,17520.138
936,20160209,1,16546.113
937,20160209,2,15939.463
938,20160209,3,15756.038
939,20160209,4,15797.888
940,20160209,5,16065.638
941,20160209,6,16742.925
942,20160209,7,19139.538
943,20160209,8,20657.813000000002
944,20160209,9,21581.375
945,20160209,10,21848.375
946,20160209,11,21637.975
947,20160209,12,21804.987999999998
948,20160209,13,21802.6
949,20160209,14,22008.513
950,20160209,15,21761.475
951,20160209,16,21441.563
952,20160209,17,21683.338
953,20160209,18,22867.862999999998
954,20160209,19,22888.8
955,20160209,20,22689.438
956,20160209,21,21924.787999999997
957,20160209,22,20523.675
958,20160209,23,18849.313000000002
959,20160209,24,17540.3
960,20160210,1,16543.988
961,20160210,2,15951.663
962,20160210,3,15619.425
963,20160210,4,15711.438
964,20160210,5,16047.788
965,20160210,6,16797.613
966,20160210,7,19235.638
967,20160210,8,20719.538
968,20160210,9,21726.237999999998
969,20160210,10,22083.075
970,20160210,11,22098.525
971,20160210,12,22539.45
972,20160210,13,22660.025
973,20160210,14,22859.575
974,20160210,15,22497.7
975,20160210,16,22338.575
976,20160210,17,22431.638
977,20160210,18,23281.025
978,20160210,19,23204.063
979,20160210,20,23237.838
980,20160210,21,22606.713
981,20160210,22,21190.35
982,20160210,23,19571.675
983,20160210,24,18224.138
984,20160211,1,17126.963
985,20160211,2,16389.85
986,20160211,3,16132.163
987,20160211,4,16149.725
988,20160211,5,16383.463
989,20160211,6,17087.875
990,20160211,7,19526.663
991,20160211,8,21127.95
992,20160211,9,22166.95
993,20160211,10,22540.7
994,20160211,11,22622.175
995,20160211,12,22865.313
996,20160211,13,22907.025
997,20160211,14,22927.162999999997
998,20160211,15,22498.688
999,20160211,16,22164.513
